county,republican,democrat,state,year
Lincoln,"36,341","13,274",North Carolina,2020
McDowell,"16,883","5,832",North Carolina,2020
Macon,"14,211","6,230",North Carolina,2020
Madison,"7,979","4,901",North Carolina,2020
Martin,"6,532","5,911",North Carolina,2020
Mecklenburg,"179,211","378,107",North Carolina,2020
Mitchell,"7,090","1,867",North Carolina,2020
Montgomery,"8,411","4,327",North Carolina,2020
Moore,"36,764","20,779",North Carolina,2020
Nash,"25,827","25,947",North Carolina,2020
NewHanover,"63,331","66,138",North Carolina,2020
Northampton,"3,989","6,069",North Carolina,2020
Onslow,"46,078","24,266",North Carolina,2020
Orange,"20,176","63,594",North Carolina,2020
Pamlico,"4,849","2,713",North Carolina,2020
Pasquotank,"9,770","9,832",North Carolina,2020
Pender,"21,956","11,723",North Carolina,2020
Perquimans,"4,903","2,492",North Carolina,2020
Person,"13,184","8,465",North Carolina,2020
Pitt,"38,982","47,252",North Carolina,2020
Polk,"7,689","4,518",North Carolina,2020
Randolph,"56,894","15,618",North Carolina,2020
Richmond,"11,830","8,754",North Carolina,2020
Robeson,"27,806","19,020",North Carolina,2020
Rockingham,"31,301","15,992",North Carolina,2020
Rowan,"49,297","23,114",North Carolina,2020
Rutherford,"24,891","9,135",North Carolina,2020
Sampson,"17,411","10,966",North Carolina,2020
Scotland,"7,473","7,186",North Carolina,2020
Stanly,"25,458","8,129",North Carolina,2020
Stokes,"20,144","5,286",North Carolina,2020
Surry,"27,538","8,721",North Carolina,2020
Swain,"4,161","2,780",North Carolina,2020
Transylvania,"11,636","8,444",North Carolina,2020
Tyrrell,"1,044",758,North Carolina,2020
Union,"80,382","48,725",North Carolina,2020
Vance,"8,391","12,431",North Carolina,2020
Wake,"226,197","393,336",North Carolina,2020
Warren,"3,752","6,400",North Carolina,2020
Washington,"2,781","3,396",North Carolina,2020
Watauga,"14,451","17,122",North Carolina,2020
Wayne,"30,709","24,215",North Carolina,2020
Wilkes,"27,592","7,511",North Carolina,2020
Wilson,"19,581","20,754",North Carolina,2020
Yadkin,"15,933","3,763",North Carolina,2020
Yancey,"7,516","3,688",North Carolina,2020
Adams,981,258,North Dakota,2020
Barnes,"3,568","1,820",North Dakota,2020
Benson,"1,094",822,North Dakota,2020
Billings,541,72,North Dakota,2020
Bottineau,"2,575",821,North Dakota,2020
Bowman,"1,395",228,North Dakota,2020
Burke,994,137,North Dakota,2020
Burleigh,"34,744","14,348",North Dakota,2020
Cass,"42,619","40,311",North Dakota,2020
Cavalier,"1,499",474,North Dakota,2020
Dickey,"1,742",608,North Dakota,2020
Divide,904,265,North Dakota,2020
Dunn,"1,951",342,North Dakota,2020
Eddy,854,383,North Dakota,2020
Emmons,"1,738",237,North Dakota,2020
Foster,"1,362",373,North Dakota,2020
GoldenValley,871,137,North Dakota,2020
GrandForks,"16,987","12,880",North Dakota,2020
Grant,"1,145",207,North Dakota,2020
Griggs,907,308,North Dakota,2020
Hettinger,"1,091",196,North Dakota,2020
Kidder,"1,215",221,North Dakota,2020
LaMoure,"1,645",527,North Dakota,2020
Logan,930,128,North Dakota,2020
McHenry,"2,364",564,North Dakota,2020
McIntosh,"1,153",261,North Dakota,2020
McKenzie,"4,482",814,North Dakota,2020
McLean,"4,198","1,230",North Dakota,2020
Mercer,"3,856",704,North Dakota,2020
Morton,"12,243","3,872",North Dakota,2020
Mountrail,"2,824","1,256",North Dakota,2020
Nelson,"1,141",586,North Dakota,2020
Oliver,918,129,North Dakota,2020
Pembina,"2,460",786,North Dakota,2020
Pierce,"1,585",497,North Dakota,2020
Ramsey,"3,577","1,639",North Dakota,2020
Ransom,"1,418",945,North Dakota,2020
Renville,"1,065",220,North Dakota,2020
Richland,"5,072","2,510",North Dakota,2020
Rolette,"1,257","2,482",North Dakota,2020
Sargent,"1,266",738,North Dakota,2020
Sheridan,688,104,North Dakota,2020
Sioux,258,804,North Dakota,2020
Slope,380,44,North Dakota,2020
Stark,"12,110","2,499",North Dakota,2020
Steele,652,392,North Dakota,2020
Stutsman,"6,994","2,676",North Dakota,2020
Towner,830,317,North Dakota,2020
Traill,"2,522","1,493",North Dakota,2020
Walsh,"3,324","1,333",North Dakota,2020
Ward,"19,974","7,293",North Dakota,2020
Wells,"1,893",442,North Dakota,2020
Williams,"11,739","2,169",North Dakota,2020
Adams,"9,870","2,156",Ohio,2020
Allen,"33,116","14,149",Ohio,2020
Ashland,"19,407","6,541",Ohio,2020
Ashtabula,"26,890","16,497",Ohio,2020
Athens,"10,862","14,722",Ohio,2020
Auglaize,"20,798","4,651",Ohio,2020
Belmont,"23,560","9,138",Ohio,2020
Brown,"16,480","4,380",Ohio,2020
Butler,"114,392","69,613",Ohio,2020
Carroll,"10,745","3,251",Ohio,2020
Champaign,"14,589","5,062",Ohio,2020
Clark,"39,032","24,076",Ohio,2020
Clermont,"74,570","34,092",Ohio,2020
Clinton,"15,488","4,697",Ohio,2020
Columbiana,"35,726","13,359",Ohio,2020
Coshocton,"12,325","4,125",Ohio,2020
Crawford,"15,436","4,916",Ohio,2020
Cuyahoga,"202,699","416,176",Ohio,2020
Darke,"22,003","4,731",Ohio,2020
Defiance,"13,038","5,981",Ohio,2020
Delaware,"66,356","57,735",Ohio,2020
Erie,"22,160","17,493",Ohio,2020
Fairfield,"49,714","30,637",Ohio,2020
Fayette,"9,473","2,975",Ohio,2020
Franklin,"211,237","409,144",Ohio,2020
Fulton,"15,731","6,664",Ohio,2020
Gallia,"10,645","2,990",Ohio,2020
Geauga,"34,143","21,201",Ohio,2020
Greene,"52,072","34,798",Ohio,2020
Guernsey,"13,407","4,577",Ohio,2020
Hamilton,"177,886","246,266",Ohio,2020
Hancock,"26,310","11,757",Ohio,2020
Hardin,"9,949","3,062",Ohio,2020
Harrison,"5,792","1,768",Ohio,2020
Henry,"10,479","4,062",Ohio,2020
Highland,"15,678","3,799",Ohio,2020
Hocking,"9,737","3,880",Ohio,2020
Holmes,"10,796","1,994",Ohio,2020
Huron,"18,956","7,759",Ohio,2020
Jackson,"11,309","3,311",Ohio,2020
Jefferson,"22,828","10,018",Ohio,2020
Knox,"22,340","8,589",Ohio,2020
Lake,"73,278","55,514",Ohio,2020
Lawrence,"20,306","7,489",Ohio,2020
Licking,"59,514","33,055",Ohio,2020
Logan,"17,964","5,055",Ohio,2020
Lorain,"79,520","75,667",Ohio,2020
Lucas,"81,763","115,411",Ohio,2020
Madison,"13,835","5,698",Ohio,2020
Mahoning,"59,903","57,641",Ohio,2020
Marion,"19,023","8,269",Ohio,2020
Medina,"64,598","39,800",Ohio,2020
Meigs,"8,316","2,492",Ohio,2020
Mercer,"19,452","4,030",Ohio,2020
Miami,"41,371","15,663",Ohio,2020
Monroe,"5,463","1,605",Ohio,2020
Montgomery,"129,034","135,064",Ohio,2020
Morgan,"5,041","1,725",Ohio,2020
Morrow,"14,077","4,048",Ohio,2020
Muskingum,"27,867","11,971",Ohio,2020
Noble,"5,135","1,170",Ohio,2020
Ottawa,"14,628","9,008",Ohio,2020
Paulding,"7,086","2,213",Ohio,2020
Perry,"12,357","4,098",Ohio,2020
Pickaway,"20,593","7,304",Ohio,2020
Pike,"9,157","3,110",Ohio,2020
Portage,"45,990","35,661",Ohio,2020
Preble,"17,022","4,493",Ohio,2020
Putnam,"16,412","3,195",Ohio,2020
Richland,"41,472","17,640",Ohio,2020
Ross,"22,278","10,557",Ohio,2020
Sandusky,"18,896","10,596",Ohio,2020
Scioto,"22,609","9,080",Ohio,2020
Seneca,"17,086","8,266",Ohio,2020
Shelby,"20,423","4,465",Ohio,2020
Stark,"111,097","75,904",Ohio,2020
Summit,"124,833","151,668",Ohio,2020
Trumbull,"55,194","44,519",Ohio,2020
Tuscarawas,"30,458","12,889",Ohio,2020
Union,"21,669","11,141",Ohio,2020
VanWert,"11,650","3,067",Ohio,2020
Vinton,"4,632","1,331",Ohio,2020
Warren,"87,988","46,069",Ohio,2020
Washington,"22,307","9,243",Ohio,2020
Wayne,"36,759","16,660",Ohio,2020
Williams,"13,452","4,842",Ohio,2020
Wood,"35,757","30,617",Ohio,2020
Wyandot,"8,462","2,733",Ohio,2020
Adair,"5,585","1,387",Oklahoma,2020
Alfalfa,"1,978",232,Oklahoma,2020
Atoka,"4,557",765,Oklahoma,2020
Beaver,"1,968",190,Oklahoma,2020
Beckham,"6,767","1,048",Oklahoma,2020
Blaine,"3,136",688,Oklahoma,2020
Bryan,"12,344","3,323",Oklahoma,2020
Caddo,"7,013","2,670",Oklahoma,2020
Canadian,"43,550","16,742",Oklahoma,2020
Carter,"14,699","4,470",Oklahoma,2020
Cherokee,"11,223","6,027",Oklahoma,2020
Choctaw,"4,698","1,082",Oklahoma,2020
Cimarron,970,70,Oklahoma,2020
Cleveland,"66,677","49,827",Oklahoma,2020
Coal,"2,091",374,Oklahoma,2020
Comanche,"20,905","13,747",Oklahoma,2020
Cotton,"2,117",393,Oklahoma,2020
Craig,"4,686","1,217",Oklahoma,2020
Creek,"23,294","6,577",Oklahoma,2020
Custer,"8,060","2,369",Oklahoma,2020
Delaware,"13,557","3,472",Oklahoma,2020
Dewey,"2,124",214,Oklahoma,2020
Ellis,"1,688",162,Oklahoma,2020
Garfield,"16,970","4,919",Oklahoma,2020
Garvin,"8,878","1,865",Oklahoma,2020
Grady,"18,538","4,144",Oklahoma,2020
Grant,"1,916",280,Oklahoma,2020
Greer,"1,605",328,Oklahoma,2020
Harmon,747,177,Oklahoma,2020
Harper,"1,327",136,Oklahoma,2020
Haskell,"4,165",783,Oklahoma,2020
Hughes,"3,875",919,Oklahoma,2020
Jackson,"6,392","1,646",Oklahoma,2020
Jefferson,"2,026",319,Oklahoma,2020
Johnston,"3,441",738,Oklahoma,2020
Kay,"12,834","4,040",Oklahoma,2020
Kingfisher,"5,521",854,Oklahoma,2020
Kiowa,"2,673",699,Oklahoma,2020
Latimer,"3,437",762,Oklahoma,2020
LeFlore,"15,213","3,299",Oklahoma,2020
Lincoln,"12,013","2,609",Oklahoma,2020
Logan,"15,608","5,455",Oklahoma,2020
Love,"3,305",711,Oklahoma,2020
McClain,"15,295","3,582",Oklahoma,2020
McCurtain,"9,485","1,858",Oklahoma,2020
McIntosh,"6,172","2,031",Oklahoma,2020
Major,"3,084",320,Oklahoma,2020
Marshall,"4,891","1,100",Oklahoma,2020
Mayes,"12,749","3,581",Oklahoma,2020
Murray,"4,612","1,156",Oklahoma,2020
Muskogee,"16,526","8,027",Oklahoma,2020
Noble,"3,821","1,003",Oklahoma,2020
Nowata,"3,610",712,Oklahoma,2020
Okfuskee,"3,058",896,Oklahoma,2020
Oklahoma,"145,050","141,724",Oklahoma,2020
Okmulgee,"9,668","4,357",Oklahoma,2020
Osage,"14,121","6,002",Oklahoma,2020
Ottawa,"8,545","2,686",Oklahoma,2020
Pawnee,"5,267","1,363",Oklahoma,2020
Payne,"17,813","10,904",Oklahoma,2020
Pittsburg,"13,851","3,768",Oklahoma,2020
Pontotoc,"10,805","4,117",Oklahoma,2020
Pottawatomie,"20,240","7,275",Oklahoma,2020
Pushmataha,"4,016",668,Oklahoma,2020
RogerMills,"1,629",168,Oklahoma,2020
Rogers,"34,031","9,589",Oklahoma,2020
Seminole,"6,011","2,150",Oklahoma,2020
Sequoyah,"12,113","3,035",Oklahoma,2020
Stephens,"15,560","3,154",Oklahoma,2020
Texas,"4,505",894,Oklahoma,2020
Tillman,"2,076",597,Oklahoma,2020
Tulsa,"150,574","108,996",Oklahoma,2020
Wagoner,"26,165","8,464",Oklahoma,2020
Washington,"17,076","5,790",Oklahoma,2020
Washita,"4,086",598,Oklahoma,2020
Woods,"2,993",591,Oklahoma,2020
Woodward,"6,611","1,005",Oklahoma,2020
Baker,"2,346","7,352",Oregon,2020
Benton,"35,827","14,878",Oregon,2020
Clackamas,"139,043","110,509",Oregon,2020
Clatsop,"12,916","10,218",Oregon,2020
Columbia,"13,835","17,150",Oregon,2020
Coos,"14,243","21,829",Oregon,2020
Crook,"3,801","11,287",Oregon,2020
Curry,"6,058","8,484",Oregon,2020
Deschutes,"65,962","55,646",Oregon,2020
Douglas,"19,160","43,298",Oregon,2020
Gilliam,324,834,Oregon,2020
Grant,929,"3,545",Oregon,2020
Harney,894,"3,475",Oregon,2020
HoodRiver,"8,764","3,955",Oregon,2020
Jackson,"59,478","63,869",Oregon,2020
Jefferson,"4,393","7,189",Oregon,2020
Josephine,"18,451","31,751",Oregon,2020
Klamath,"10,388","25,308",Oregon,2020
Lake,792,"3,470",Oregon,2020
Lane,"134,366","80,336",Oregon,2020
Lincoln,"17,385","12,460",Oregon,2020
Linn,"26,512","43,486",Oregon,2020
Malheur,"3,260","8,187",Oregon,2020
Marion,"80,872","79,002",Oregon,2020
Morrow,"1,371","3,586",Oregon,2020
Multnomah,"367,249","82,995",Oregon,2020
Polk,"22,917","23,732",Oregon,2020
Sherman,260,921,Oregon,2020
Tillamook,"8,066","8,354",Oregon,2020
Umatilla,"10,707","21,270",Oregon,2020
Union,"4,254","10,298",Oregon,2020
Wallowa,"1,625","3,404",Oregon,2020
Wasco,"6,604","7,035",Oregon,2020
Washington,"209,940","99,073",Oregon,2020
Wheeler,217,711,Oregon,2020
Yamhill,"27,174","29,551",Oregon,2020
Adams,"18,207","37,523",Pennsylvania,2020
Allegheny,"430,759","282,913",Pennsylvania,2020
Armstrong,"8,457","27,489",Pennsylvania,2020
Beaver,"38,122","54,759",Pennsylvania,2020
Bedford,"4,367","23,025",Pennsylvania,2020
Berks,"92,895","109,736",Pennsylvania,2020
Blair,"17,636","45,306",Pennsylvania,2020
Bradford,"8,046","21,600",Pennsylvania,2020
Bucks,"204,712","187,367",Pennsylvania,2020
Butler,"37,508","74,359",Pennsylvania,2020
Cambria,"21,730","48,085",Pennsylvania,2020
Cameron,634,"1,771",Pennsylvania,2020
Carbon,"11,212","21,984",Pennsylvania,2020
Centre,"40,055","36,372",Pennsylvania,2020
Chester,"182,372","128,565",Pennsylvania,2020
Clarion,"4,678","14,578",Pennsylvania,2020
Clearfield,"9,673","29,203",Pennsylvania,2020
Clinton,"5,502","11,902",Pennsylvania,2020
Columbia,"10,532","20,098",Pennsylvania,2020
Crawford,"12,924","28,559",Pennsylvania,2020
Cumberland,"62,245","77,212",Pennsylvania,2020
Dauphin,"78,983","66,408",Pennsylvania,2020
Delaware,"206,423","118,532",Pennsylvania,2020
Elk,"4,522","12,140",Pennsylvania,2020
Erie,"68,286","66,869",Pennsylvania,2020
Fayette,"20,444","41,227",Pennsylvania,2020
Forest,728,"1,882",Pennsylvania,2020
Franklin,"22,422","57,245",Pennsylvania,2020
Fulton,"1,085","6,824",Pennsylvania,2020
Greene,"4,911","12,579",Pennsylvania,2020
Huntingdon,"5,445","17,061",Pennsylvania,2020
Indiana,"12,634","28,089",Pennsylvania,2020
Jefferson,"4,527","17,960",Pennsylvania,2020
Juniata,"2,253","9,649",Pennsylvania,2020
Lackawanna,"61,991","52,334",Pennsylvania,2020
Lancaster,"115,847","160,209",Pennsylvania,2020
Lawrence,"15,978","29,597",Pennsylvania,2020
Lebanon,"23,932","46,731",Pennsylvania,2020
Lehigh,"98,288","84,259",Pennsylvania,2020
Luzerne,"64,873","86,929",Pennsylvania,2020
Lycoming,"16,971","41,462",Pennsylvania,2020
McKean,"5,098","14,083",Pennsylvania,2020
Mercer,"21,067","36,143",Pennsylvania,2020
Mifflin,"4,603","16,670",Pennsylvania,2020
Monroe,"44,060","38,726",Pennsylvania,2020
Montgomery,"319,511","185,460",Pennsylvania,2020
Montour,"3,771","5,844",Pennsylvania,2020
Northampton,"85,087","83,854",Pennsylvania,2020
Northumberland,"12,677","28,952",Pennsylvania,2020
Perry,"5,950","18,293",Pennsylvania,2020
Philadelphia,"603,790","132,740",Pennsylvania,2020
Pike,"13,019","19,213",Pennsylvania,2020
Potter,"1,726","7,239",Pennsylvania,2020
Schuylkill,"20,727","48,871",Pennsylvania,2020
Snyder,"4,910","13,983",Pennsylvania,2020
Somerset,"8,654","31,466",Pennsylvania,2020
Sullivan,921,"2,619",Pennsylvania,2020
Susquehanna,"6,236","15,207",Pennsylvania,2020
Tioga,"4,955","15,742",Pennsylvania,2020
Union,"7,475","12,356",Pennsylvania,2020
Venango,"7,585","18,569",Pennsylvania,2020
Warren,"6,066","14,237",Pennsylvania,2020
Washington,"45,088","72,080",Pennsylvania,2020
Wayne,"9,191","18,637",Pennsylvania,2020
Westmoreland,"72,129","130,218",Pennsylvania,2020
Wyoming,"4,704","9,936",Pennsylvania,2020
York,"88,114","146,733",Pennsylvania,2020
Bristol,"18,050","9,745",Rhode Island,2020
Providence,"166,288","102,636",Rhode Island,2020
Washington,"44,549","29,818",Rhode Island,2020
Kent,"49,113","42,001",Rhode Island,2020
Newport,"29,486","15,722",Rhode Island,2020
Abbeville,"8,215","4,101",South Carolina,2020
Aiken,"51,589","32,275",South Carolina,2020
Allendale,835,"2,718",South Carolina,2020
Anderson,"67,565","27,169",South Carolina,2020
Bamberg,"2,417","4,010",South Carolina,2020
Barnwell,"5,492","4,720",South Carolina,2020
Beaufort,"53,194","43,419",South Carolina,2020
Calhoun,"4,305","3,905",South Carolina,2020
Charleston,"93,297","121,485",South Carolina,2020
Cherokee,"18,043","6,983",South Carolina,2020
Chester,"8,660","6,941",South Carolina,2020
Chesterfield,"11,297","7,431",South Carolina,2020
Clarendon,"8,361","8,250",South Carolina,2020
Colleton,"10,440","8,602",South Carolina,2020
Darlington,"16,832","15,220",South Carolina,2020
Dillon,"6,582","6,436",South Carolina,2020
Dorchester,"41,913","33,824",South Carolina,2020
Edgefield,"8,184","4,953",South Carolina,2020
Fairfield,"4,625","7,382",South Carolina,2020
Florence,"32,615","31,153",South Carolina,2020
Georgetown,"20,487","15,822",South Carolina,2020
Greenville,"150,021","103,030",South Carolina,2020
Greenwood,"19,431","12,145",South Carolina,2020
Hampton,"3,906","5,323",South Carolina,2020
Horry,"118,821","59,180",South Carolina,2020
Jasper,"7,078","7,185",South Carolina,2020
Kershaw,"20,471","12,699",South Carolina,2020
Lancaster,"30,312","18,937",South Carolina,2020
Laurens,"20,004","10,159",South Carolina,2020
Lee,"3,008","5,329",South Carolina,2020
Lexington,"92,817","49,301",South Carolina,2020
McCormick,"2,958","2,687",South Carolina,2020
Marion,"5,711","8,872",South Carolina,2020
Marlboro,"5,044","6,290",South Carolina,2020
Newberry,"11,443","6,958",South Carolina,2020
Oconee,"29,698","10,414",South Carolina,2020
Orangeburg,"13,603","27,295",South Carolina,2020
Pickens,"42,907","13,645",South Carolina,2020
Richland,"58,313","132,570",South Carolina,2020
Saluda,"6,210","2,963",South Carolina,2020
Spartanburg,"93,560","52,926",South Carolina,2020
Sumter,"21,000","27,379",South Carolina,2020
Union,"8,183","4,935",South Carolina,2020
Williamsburg,"5,532","10,289",South Carolina,2020
York,"82,727","59,008",South Carolina,2020
Berkeley,"57,397","45,223",South Carolina,2020
Aurora,"1,052",317,South Dakota,2020
Beadle,"4,808","2,107",South Dakota,2020
Bennett,694,466,South Dakota,2020
BonHomme,"2,235",721,South Dakota,2020
Brookings,"8,000","6,110",South Dakota,2020
Brown,"10,580","6,538",South Dakota,2020
Brule,"1,750",673,South Dakota,2020
Buffalo,183,352,South Dakota,2020
Butte,"3,731",939,South Dakota,2020
Campbell,747,117,South Dakota,2020
CharlesMix,"2,552","1,177",South Dakota,2020
Clark,"1,373",437,South Dakota,2020
Clay,"2,456","3,083",South Dakota,2020
Codington,"8,958","3,837",South Dakota,2020
Corson,647,622,South Dakota,2020
Custer,"3,852","1,522",South Dakota,2020
Davison,"5,613","2,648",South Dakota,2020
Day,"1,869","1,052",South Dakota,2020
Deuel,"1,699",609,South Dakota,2020
Dewey,790,"1,131",South Dakota,2020
Douglas,"1,468",216,South Dakota,2020
Edmunds,"1,538",417,South Dakota,2020
FallRiver,"2,878","1,053",South Dakota,2020
Faulk,964,198,South Dakota,2020
Grant,"2,618","1,056",South Dakota,2020
Gregory,"1,771",455,South Dakota,2020
Haakon,"1,026",105,South Dakota,2020
Hamlin,"2,372",647,South Dakota,2020
Hand,"1,433",373,South Dakota,2020
Hanson,"1,793",557,South Dakota,2020
Harding,748,49,South Dakota,2020
Hughes,"5,522","2,953",South Dakota,2020
Hutchinson,"2,944",762,South Dakota,2020
Hyde,564,136,South Dakota,2020
Jackson,738,359,South Dakota,2020
Jerauld,721,270,South Dakota,2020
Jones,498,90,South Dakota,2020
Kingsbury,"1,904",819,South Dakota,2020
Lake,"3,681","2,068",South Dakota,2020
Lawrence,"8,753","4,537",South Dakota,2020
Lincoln,"19,617","11,981",South Dakota,2020
Lyman,"1,042",525,South Dakota,2020
McCook,"2,068",769,South Dakota,2020
McPherson,"1,075",222,South Dakota,2020
Marshall,"1,287",858,South Dakota,2020
Meade,"9,875","3,285",South Dakota,2020
Mellette,449,298,South Dakota,2020
Miner,787,320,South Dakota,2020
Minnehaha,"49,249","40,482",South Dakota,2020
Moody,"1,951","1,179",South Dakota,2020
Pennington,"35,063","20,606",South Dakota,2020
Perkins,"1,401",239,South Dakota,2020
Potter,"1,139",227,South Dakota,2020
Roberts,"2,404","1,828",South Dakota,2020
Sanborn,905,257,South Dakota,2020
OglalaLakota,297,"2,829",South Dakota,2020
Spink,"2,104",998,South Dakota,2020
Stanley,"1,203",421,South Dakota,2020
Sully,726,185,South Dakota,2020
Todd,532,"1,963",South Dakota,2020
Tripp,"2,161",495,South Dakota,2020
Turner,"3,290","1,139",South Dakota,2020
Union,"5,944","2,725",South Dakota,2020
Walworth,"1,966",565,South Dakota,2020
Yankton,"6,581","4,016",South Dakota,2020
Ziebach,404,481,South Dakota,2020
Anderson,"23,163","11,733",Tennessee,2020
Bedford,"14,317","4,443",Tennessee,2020
Benton,"5,661","1,526",Tennessee,2020
Bledsoe,"4,725",971,Tennessee,2020
Blount,"47,195","17,834",Tennessee,2020
Bradley,"35,204","9,851",Tennessee,2020
Campbell,"12,330","2,438",Tennessee,2020
Cannon,"5,190","1,261",Tennessee,2020
Carroll,"9,194","2,558",Tennessee,2020
Carter,"19,574","4,526",Tennessee,2020
Cheatham,"14,328","5,457",Tennessee,2020
Chester,"5,951","1,411",Tennessee,2020
Claiborne,"10,598","2,201",Tennessee,2020
Clay,"2,733",735,Tennessee,2020
Cocke,"12,128","2,524",Tennessee,2020
Coffee,"17,863","5,704",Tennessee,2020
Crockett,"4,673","1,382",Tennessee,2020
Cumberland,"25,167","6,728",Tennessee,2020
Davidson,"99,415","197,846",Tennessee,2020
Decatur,"4,229",904,Tennessee,2020
DeKalb,"6,663","1,747",Tennessee,2020
Dickson,"17,643","6,106",Tennessee,2020
Dyer,"11,766","3,157",Tennessee,2020
Fayette,"15,661","7,000",Tennessee,2020
Fentress,"7,403","1,210",Tennessee,2020
Franklin,"13,977","4,863",Tennessee,2020
Gibson,"16,259","5,771",Tennessee,2020
Giles,"9,783","3,298",Tennessee,2020
Grainger,"8,559","1,463",Tennessee,2020
Greene,"22,185","5,183",Tennessee,2020
Grundy,"4,795",985,Tennessee,2020
Hamblen,"18,789","5,497",Tennessee,2020
Hamilton,"91,991","75,360",Tennessee,2020
Hancock,"2,372",362,Tennessee,2020
Hardeman,"5,760","4,180",Tennessee,2020
Hardin,"9,556","1,774",Tennessee,2020
Hawkins,"20,372","4,069",Tennessee,2020
Haywood,"3,338","4,000",Tennessee,2020
Henderson,"9,797","2,092",Tennessee,2020
Henry,"11,230","3,547",Tennessee,2020
Hickman,"7,577","2,130",Tennessee,2020
Houston,"2,715",869,Tennessee,2020
Humphreys,"6,116","2,017",Tennessee,2020
Jackson,"4,106","1,133",Tennessee,2020
Jefferson,"18,609","4,645",Tennessee,2020
Johnson,"6,466","1,242",Tennessee,2020
Knox,"124,339","91,097",Tennessee,2020
Lake,"1,492",526,Tennessee,2020
Lauderdale,"5,672","3,193",Tennessee,2020
Lawrence,"15,334","3,195",Tennessee,2020
Lewis,"4,473","1,068",Tennessee,2020
Lincoln,"12,258","2,909",Tennessee,2020
Loudon,"21,684","6,933",Tennessee,2020
McMinn,"18,175","4,357",Tennessee,2020
McNairy,"9,085","1,943",Tennessee,2020
Macon,"8,095","1,307",Tennessee,2020
Madison,"23,922","18,309",Tennessee,2020
Marion,"9,873","3,165",Tennessee,2020
Marshall,"11,029","3,603",Tennessee,2020
Maury,"31,408","14,386",Tennessee,2020
Meigs,"4,464","1,008",Tennessee,2020
Monroe,"16,742","3,760",Tennessee,2020
Montgomery,"42,156","32,426",Tennessee,2020
Moore,"2,888",573,Tennessee,2020
Morgan,"6,926","1,161",Tennessee,2020
Obion,"10,790","2,589",Tennessee,2020
Overton,"7,911","2,028",Tennessee,2020
Perry,"2,775",615,Tennessee,2020
Pickett,"2,373",524,Tennessee,2020
Polk,"6,792","1,492",Tennessee,2020
Putnam,"23,694","9,154",Tennessee,2020
Rhea,"11,031","2,363",Tennessee,2020
Roane,"19,195","6,034",Tennessee,2020
Robertson,"24,535","8,690",Tennessee,2020
Rutherford,"81,373","59,189",Tennessee,2020
Scott,"8,004",986,Tennessee,2020
Sequatchie,"5,846","1,295",Tennessee,2020
Sevier,"33,783","8,721",Tennessee,2020
Smith,"7,124","1,798",Tennessee,2020
Stewart,"4,942","1,230",Tennessee,2020
Sullivan,"55,774","17,226",Tennessee,2020
Sumner,"63,404","27,630",Tennessee,2020
Tipton,"20,063","6,832",Tennessee,2020
Trousdale,"2,930","1,011",Tennessee,2020
Unicoi,"6,593","1,610",Tennessee,2020
Union,"6,777","1,248",Tennessee,2020
VanBuren,"2,338",544,Tennessee,2020
Warren,"12,323","4,126",Tennessee,2020
Washington,"40,120","18,214",Tennessee,2020
Wayne,"5,795",820,Tennessee,2020
Weakley,"10,382","3,011",Tennessee,2020
White,"9,587","2,134",Tennessee,2020
Williamson,"86,469","50,161",Tennessee,2020
Wilson,"50,149","22,197",Tennessee,2020
Shelby,"129,543","245,208",Tennessee,2020
Anderson,"15,110","3,955",Texas,2020
Andrews,"4,943",850,Texas,2020
Angelina,"25,076","9,143",Texas,2020
Aransas,"9,239","2,916",Texas,2020
Archer,"4,300",446,Texas,2020
Armstrong,"1,035",75,Texas,2020
Atascosa,"12,039","5,876",Texas,2020
Austin,"11,447","2,951",Texas,2020
Bailey,"1,434",409,Texas,2020
Bandera,"10,057","2,505",Texas,2020
Bastrop,"20,516","15,474",Texas,2020
Baylor,"1,494",183,Texas,2020
Bee,"6,006","3,288",Texas,2020
Bell,"67,893","57,014",Texas,2020
Bexar,"308,618","448,452",Texas,2020
Blanco,"5,443","1,911",Texas,2020
Borden,397,16,Texas,2020
Bosque,"7,469","1,561",Texas,2020
Bowie,"27,116","10,747",Texas,2020
Brazoria,"90,433","62,228",Texas,2020
Brazos,"47,530","35,349",Texas,2020
Brewster,"2,461","2,258",Texas,2020
Briscoe,639,78,Texas,2020
Brooks,998,"1,470",Texas,2020
Brown,"13,698","2,107",Texas,2020
Burleson,"6,743","1,788",Texas,2020
Burnet,"18,767","5,639",Texas,2020
Caldwell,"8,031","6,672",Texas,2020
Calhoun,"5,641","2,148",Texas,2020
Callahan,"6,012",734,Texas,2020
Cameron,"49,032","64,063",Texas,2020
Camp,"3,626","1,394",Texas,2020
Carson,"2,779",297,Texas,2020
Cass,"11,033","2,795",Texas,2020
Castro,"1,602",466,Texas,2020
Chambers,"17,353","3,997",Texas,2020
Cherokee,"15,101","4,210",Texas,2020
Childress,"1,943",310,Texas,2020
Clay,"5,069",614,Texas,2020
Cochran,809,177,Texas,2020
Coke,"1,586",178,Texas,2020
Coleman,"3,641",451,Texas,2020
Collin,"252,318","230,945",Texas,2020
Collingsworth,"1,048",155,Texas,2020
Colorado,"7,472","2,420",Texas,2020
Comal,"62,740","24,826",Texas,2020
Comanche,"5,177",853,Texas,2020
